"","x"
"1","A"
"2","Able"
"3","Aboard"
"4","About"
"5","Afraid"
"6","Against"
"7","Aloud"
"8","Already"
"9","Also"
"10","Always"
"11","Am"
"12","America"
"13","American"
"14","Among"
"15","Amount"
"16","An"
"17","And"
"18","Angel"
"19","Anger"
"20","Angry"
"21","Animal"
"22","Another"
"23","Answer"
"24","Ant"
"25","Any"
"26","Anybody"
"27","Anyhow"
"28","Anyone"
"29","Anything"
"30","Anyway"
"31","Anywhere"
"32","Apart"
"33","Apartment"
"34","Ape"
"35","Apiece"
"36","Appear"
"37","Apple"
"38","April"
"39","Apron"
"40","Are"
"41","Aren't"
"42","Arise"
"43","Arithmetic"
"44","Arm"
"45","Armful"
"46","Army"
"47","Arose"
"48","Around"
"49","Arrange"
"50","Arrive"
"51","Arrived"
"52","Arrow"
"53","Art"
"54","Artist"
"55","As"
"56","Ash"
"57","Ashes"
"58","Aside"
"59","Ask"
"60","Asleep"
"61","At"
"62","Ate"
"63","Attack"
"64","Attend"
"65","Attention"
"66","August"
"67","Aunt"
"68","Author"
"69","Auto"
"70","Automobile"
"71","Autumn"
"72","Avenue"
"73","Awake"
"74","Awaken"
"75","Away"
"76","Awful"
"77","Awfully"
"78","Awhile"
"79","Ax"
"80","Axe"
"81","Baa"
"82","Babe"
"83","Babies"
"84","Back"
"85","Background"
"86","Backward"
"87","Backwards"
"88","Bacon"
"89","Bad"
"90","Badge"
"91","Badly"
"92","Bag"
"93","Bake"
"94","Baker"
"95","Bakery"
"96","Baking"
"97","Ball"
"98","Balloon"
"99","Banana"
"100","Band"
"101","Bandage"
"102","Bang"
"103","Banjo"
"104","Bank"
"105","Banker"
"106","Bar"
"107","Barber"
"108","Bare"
"109","Barefoot"
"110","Barely"
"111","Bark"
"112","Barn"
"113","Barrel"
"114","Base"
"115","Baseball"
"116","Basement"
"117","Basket"
"118","Bat"
"119","Batch"
"120","Bath"
"121","Bathe"
"122","Bathing"
"123","Bathroom"
"124","Bathtub"
"125","Battle"
"126","Battleship"
"127","Bay"
"128","Be"
"129","Beach"
"130","Bead"
"131","Beam"
"132","Bean"
"133","Bear"
"134","Beard"
"135","Beast"
"136","Beat"
"137","Beating"
"138","Beautiful"
"139","Beautify"
"140","Beauty"
"141","Became"
"142","Because"
"143","Become"
"144","Becoming"
"145","Bed"
"146","Bedbug"
"147","Bedroom"
"148","Bedspread"
"149","Bedtime"
"150","Bee"
"151","Beech"
"152","Beef"
"153","Beefsteak"
"154","Beehive"
"155","Been"
"156","Beer"
"157","Beet"
"158","Before"
"159","Beg"
"160","Began"
"161","Beggar"
"162","Begged"
"163","Begin"
"164","Beginning"
"165","Begun"
"166","Behave"
"167","Behind"
"168","Being"
"169","Believe"
"170","Bell"
"171","Belong"
"172","Below"
"173","Belt"
"174","Bench"
"175","Bend"
"176","Beneath"
"177","Bent"
"178","Berries"
"179","Berry"
"180","Beside"
"181","Besides"
"182","Best"
"183","Bet"
"184","Better"
"185","Between"
"186","Bib"
"187","Bible"
"188","Bicycle"
"189","Bid"
"190","Big"
"191","Bigger"
"192","Bill"
"193","Billboard"
"194","Bin"
"195","Bind"
"196","Bird"
"197","Birth"
"198","Birthday"
"199","Biscuit"
"200","Bit"
"201","Bite"
"202","Biting"
"203","Bitter"
"204","Black"
"205","Blackberry"
"206","Blackbird"
"207","Blackboard"
"208","Blackness"
"209","Blacksmith"
"210","Blame"
"211","Blank"
"212","Blanket"
"213","Blast"
"214","Blaze"
"215","Bleed"
"216","Bless"
"217","Blessing"
"218","Blew"
"219","Blind"
"220","Blindfold"
"221","Blinds"
"222","Block"
"223","Blood"
"224","Bloom"
"225","Blossom"
"226","Blot"
"227","Blow"
"228","Blue"
"229","Blueberry"
"230","Bluebird"
"231","Blush"
"232","Board"
"233","Boast"
"234","Boat"
"235","Bob"
"236","Bobwhite"
"237","Bodies"
"238","Body"
"239","Boil"
"240","Boiler"
"241","Bold"
"242","Bone"
"243","Bonnet"
"244","Boo"
"245","Book"
"246","Bookcase"
"247","Bookkeeper"
"248","Boom"
"249","Boot"
"250","Born"
"251","Borrow"
"252","Boss"
"253","Both"
"254","Bother"
"255","Bottle"
"256","Bottom"
"257","Bought"
"258","Bounce"
"259","Bow"
"260","Bow-wow"
"261","Bowl"
"262","Box"
"263","Boxcar"
"264","Boxer"
"265","Boxes"
"266","Boy"
"267","Boyhood"
"268","Bracelet"
"269","Brain"
"270","Brake"
"271","Bran"
"272","Branch"
"273","Brass"
"274","Brave"
"275","Bread"
"276","Break"
"277","Breakfast"
"278","Breast"
"279","Breath"
"280","Breathe"
"281","Breeze"
"282","Brick"
"283","Bride"
"284","Bridge"
"285","Bright"
"286","Brightness"
"287","Bring"
"288","Broad"
"289","Broadcast"
"290","Broke"
"291","Broken"
"292","Brook"
"293","Broom"
"294","Brother"
"295","Brought"
"296","Brown"
"297","Brush"
"298","Bubble"
"299","Bucket"
"300","Buckle"
"301","Bud"
"302","Buffalo"
"303","Bug"
"304","Buggy"
"305","Build"
"306","Building"
"307","Built"
"308","Bulb"
"309","Bull"
"310","Bullet"
"311","Bum"
"312","Bumblebee"
"313","Bump"
"314","Bun"
"315","Bunch"
"316","Bundle"
"317","Bunny"
"318","Burn"
"319","Burst"
"320","Bury"
"321","Bus"
"322","Bush"
"323","Bushel"
"324","Business"
"325","Busy"
"326","But"
"327","Butcher"
"328","Butt"
"329","Butter"
"330","Buttercup"
"331","Butterfly"
"332","Buttermilk"
"333","Butterscotch"
"334","Button"
"335","Buttonhole"
"336","Buy"
"337","Buzz"
"338","By"
"339","Bye"
"340","Cab"
"341","Cabbage"
"342","Cabin"
"343","Cabinet"
"344","Cackle"
"345","Cage"
"346","Cake"
"347","Calendar"
"348","Calf"
"349","Call"
"350","Caller"
"351","Calling"
"352","Came"
"353","Camel"
"354","Camp"
"355","Campfire"
"356","Can"
"357","Can't"
"358","Canal"
"359","Canary"
"360","Candle"
"361","Candlestick"
"362","Candy"
"363","Cane"
"364","Cannon"
"365","Cannot"
"366","Canoe"
"367","Canyon"
"368","Cap"
"369","Cape"
"370","Capital"
"371","Captain"
"372","Car"
"373","Card"
"374","Cardboard"
"375","Care"
"376","Careful"
"377","Careless"
"378","Carelessness"
"379","Carload"
"380","Carpenter"
"381","Carpet"
"382","Carriage"
"383","Carrot"
"384","Carry"
"385","Cart"
"386","Carve"
"387","Case"
"388","Cash"
"389","Cashier"
"390","Castle"
"391","Cat"
"392","Catbird"
"393","Catch"
"394","Catcher"
"395","Caterpillar"
"396","Catfish"
"397","Catsup"
"398","Cattle"
"399","Caught"
"400","Cause"
"401","Cave"
"402","Ceiling"
"403","Cell"
"404","Cellar"
"405","Cent"
"406","Center"
"407","Cereal"
"408","Certain"
"409","Certainly"
"410","Chain"
"411","Chair"
"412","Chalk"
"413","Champion"
"414","Chance"
"415","Change"
"416","Chap"
"417","Charge"
"418","Charm"
"419","Chart"
"420","Chase"
"421","Chatter"
"422","Cheap"
"423","Cheat"
"424","Check"
"425","Checkers"
"426","Cheek"
"427","Cheer"
"428","Cheese"
"429","Cherry"
"430","Chest"
"431","Chew"
"432","Chick"
"433","Chicken"
"434","Chief"
"435","Child"
"436","Childhood"
"437","Children"
"438","Chill"
"439","Chilly"
"440","Chimney"
"441","Chin"
"442","China"
"443","Chip"
"444","Chipmunk"
"445","Chocolate"
"446","Choice"
"447","Choose"
"448","Chop"
"449","Chorus"
"450","Chose"
"451","Chosen"
"452","Christen"
"453","Christmas"
"454","Church"
"455","Churn"
"456","Cigarette"
"457","Circle"
"458","Circus"
"459","Citizen"
"460","City"
"461","Clang"
"462","Clap"
"463","Class"
"464","Classmate"
"465","Classroom"
"466","Claw"
"467","Clay"
"468","Clean"
"469","Cleaner"
"470","Clear"
"471","Clerk"
"472","Clever"
"473","Click"
"474","Cliff"
"475","Climb"
"476","Clip"
"477","Cloak"
"478","Clock"
"479","Close"
"480","Closet"
"481","Cloth"
"482","Clothes"
"483","Clothing"
"484","Cloud"
"485","Cloudy"
"486","Clover"
"487","Clown"
"488","Club"
"489","Cluck"
"490","Clump"
"491","Coach"
"492","Coal"
"493","Coast"
"494","Coat"
"495","Cob"
"496","Cobbler"
"497","Cocoa"
"498","Coconut"
"499","Cocoon"
"500","Cod"
"501","Codfish"
"502","Coffee"
"503","Coffeepot"
"504","Coin"
"505","Cold"
"506","Collar"
"507","College"
"508","Color"
"509","Colored"
"510","Colt"
"511","Column"
"512","Comb"
"513","Come"
"514","Comfort"
"515","Comic"
"516","Coming"
"517","Company"
"518","Compare"
"519","Conductor"
"520","Cone"
"521","Connect"
"522","Coo"
"523","Cook"
"524","Cooked"
"525","Cookie"
"526","Cookies"
"527","Cooking"
"528","Cool"
"529","Cooler"
"530","Coop"
"531","Copper"
"532","Copy"
"533","Cord"
"534","Cork"
"535","Corn"
"536","Corner"
"537","Correct"
"538","Cost"
"539","Cot"
"540","Cottage"
"541","Cotton"
"542","Couch"
"543","Cough"
"544","Could"
"545","Couldn't"
"546","Count"
"547","Counter"
"548","Country"
"549","County"
"550","Course"
"551","Court"
"552","Cousin"
"553","Cover"
"554","Cow"
"555","Coward"
"556","Cowardly"
"557","Cowboy"
"558","Cozy"
"559","Crab"
"560","Crack"
"561","Cracker"
"562","Cradle"
"563","Cramps"
"564","Cranberry"
"565","Crank"
"566","Cranky"
"567","Crash"
